fips,TOT_POP,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,POVALL_2018,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,Percent of Population Aged 60+,STATE_FIPS,CNTY_FIPS,county_pop2018_18 and older,anycondition_number,COPD_number,diabetes_number,CKD_number,Urban_rural_code,Obesity_number
21211,48518,48518,1023,1819,12.2,7.1,5.1,2.7,13.5,16.2,4683,9873,9544,7714,14.7,31.0,30.0,24.2,4714,10.0,13.6,12.4,66056,60296,71816,24920,24052,868,3.5,66056,131.6,230.9,214.6,77.3,72.9,8.3,7.6,31.85743181,10.7060081,1.14009214,21.44459026,20.63023873,70.0993796,4,45831,9425,20.6,21,211,37346,18183,3781,4863,1135,2,13183
48405,8232,8232,-60,179,10.2,14.4,-4.2,0.0,-3.0,-3.0,1175,2390,1743,816,19.2,39.0,28.5,13.3,1777,22.2,34.3,33.3,38826,34688,42964,2987,2792,195,6.5,38826,64.0,224.8,199.9,72.9,66.5,6.2,5.4,2.839427221,1.675835682,0.150002064,3.114765619,2.756825702,9.722313531,0,8403,2707,32.2,48,405,6604,3730,788,1228,311,6,2675
1017,33615,33615,-143,458,10.6,13.7,-3.1,0.6,-1.7,-1.1,4383,9060,7003,3118,18.6,38.4,29.7,13.2,6181,18.7,30.7,30.3,39917,36435,43399,15276,14679,597,3.9,39917,80.0,217.1,196.7,77.2,71.2,7.6,6.9,17.44752572,3.679316619,0.69459996,15.71446444,12.84666064,43.61537569,0,33895,8501,25.1,1,17,26623,14836,2870,4664,1068,5,10410
53033,2233163,2233163,28934,38771,11.8,6.2,5.6,9.7,-2.2,7.5,108078,234136,404452,790809,7.0,15.2,26.3,51.4,202628,9.2,10.8,10.0,94822,93048,96596,1258687,1215220,43467,3.5,94822,128.1,278.8,246.3,100.6,91.7,6.9,6.1,900.0111645,565.4334217,27.26408533,1110.715128,1308.972444,3294.509093,450,2118119,386511,18.2,53,33,1780304,543692,72426,151431,41889,1,413031
10005,229286,229286,5072,2843,10.0,12.2,-2.2,0.4,23.9,24.4,20067,53680,46446,43262,12.3,32.8,28.4,26.5,27750,12.3,21.6,21.5,59821,56752,62890,105426,101475,3951,3.7,59821,91.4,284.6,252.3,96.8,87.2,7.0,6.6,123.7498767,60.45252598,1.659481105,116.8748836,97.43524775,375.5168672,38,215551,71832,33.3,10,5,186702,84095,17955,24950,6824,3,64412
27033,11277,11277,0,244,12.3,13.3,-1.0,0.4,0.5,1.0,752,2759,2640,1650,9.6,35.4,33.8,21.2,1147,10.4,16.1,15.2,51788,47197,56379,5826,5619,207,3.6,51788,73.7,302.7,265.0,104.9,96.0,7.4,6.6,5.788045614,3.641645365,0.255236734,6.461307864,7.04614164,18.85737222,0,11437,3290,28.8,27,33,8521,3706,575,979,290,6,2863
13087,26575,26575,-99,1034,14.1,12.8,1.3,-0.3,-4.8,-5.1,3272,6428,5505,2592,18.4,36.1,30.9,14.6,5923,23.2,35.7,33.8,38441,34803,42079,11551,11012,539,4.7,38441,65.6,228.7,202.9,79.1,71.9,7.0,6.1,12.16397444,8.404889503,0.36630868,12.57575592,8.61709591,32.3058993,10,27023,5831,21.6,13,87,20070,8970,2063,3258,802,5,6442
29015,19278,19278,210,244,8.0,15.8,-7.8,0.0,18.7,18.7,2068,5974,4632,1965,14.1,40.8,31.6,13.4,3834,20.2,33.7,31.8,40025,36237,43813,7143,6820,323,4.5,40025,73.6,273.1,236.3,86.6,79.0,7.0,6.3,10.7522145,2.092543939,0.383895279,11.99200745,8.609323635,34.18870661,0,18918,7360,38.9,29,15,15950,8280,2086,2621,687,6,5742
4021,447138,447138,15024,25313,10.3,7.3,3.0,2.0,29.0,31.0,41961,85546,105949,54794,14.6,29.7,36.8,19.0,54399,12.9,17.5,16.7,58848,56944,60752,178216,169264,8952,5.0,58848,99.6,242.0,224.0,78.1,73.2,6.9,6.1,212.1703461,120.9551782,5.17488649,207.3071998,167.6538527,577.9038901,22,405537,100086,24.7,4,21,346360,177148,28726,46827,12358,2,130231
42103,55933,55933,410,478,7.7,9.0,-1.3,0.9,7.9,8.8,2897,13849,12616,11397,7.1,34.0,31.0,28.0,5690,10.3,15.2,14.0,62657,56786,68528,24698,23369,1329,5.4,62657,102.9,320.5,273.3,100.8,88.2,8.7,7.2,30.58459935,24.75854544,0.869103994,45.31569369,31.46243806,116.9010383,0,55687,15643,28.1,42,103,45892,21072,3611,5554,1499,2,14823
5067,16811,16811,-246,2218,12.0,12.5,-0.5,-0.1,-13.9,-14.0,2600,5061,3408,1254,21.1,41.1,27.7,10.2,3732,25.6,30.4,30.2,36573,32984,40162,5786,5430,356,6.2,36573,77.7,207.6,188.2,79.9,75.0,7.0,6.5,7.279239836,1.165793966,0.490860617,5.014587443,9.398865229,20.2870462,0,17429,4039,23.2,5,67,13430,7057,1579,2070,520,6,5211
5025,8018,8018,-163,52,10.4,10.5,-0.1,0.0,-20.1,-20.1,649,2689,1438,920,11.4,47.2,25.2,16.2,1232,15.5,21.0,18.4,47600,42562,52638,3302,3173,129,3.9,47600,101.1,207.6,188.2,79.9,75.0,7.0,6.5,3.471830647,0.556024985,0.234115783,2.391705557,4.482785165,9.675898899,0,8332,2195,26.3,5,25,6264,3338,695,936,240,4,2399
47121,12306,12306,250,128,10.3,12.1,-1.8,-0.2,22.3,22.2,1334,3901,2451,903,15.5,45.4,28.5,10.5,2153,17.8,26.6,24.4,50565,47458,53672,5061,4833,228,4.5,50565,96.6,253.1,225.8,85.1,77.8,8.1,7.4,10.44826935,2.166725308,0.209038096,6.520170871,4.518858318,18.36445116,0,11830,3343,28.3,47,121,9794,5062,1218,1471,356,6,3614
54019,43018,43018,-559,1840,9.6,14.9,-5.3,0.2,-7.8,-7.6,5633,13673,7696,4826,17.7,43.0,24.2,15.2,9236,22.5,28.5,26.7,37867,34572,41162,15785,14770,1015,6.4,37867,86.0,263.4,231.6,100.1,89.4,10.5,9.2,22.44004758,15.91289998,1.334015567,23.2499856,29.56273784,66.77224349,3,44602,12150,27.2,54,19,34121,20328,5006,5847,1314,4,13546
23029,31490,31490,-50,729,8.9,13.1,-4.2,0.7,2.0,2.7,2710,9099,6645,4854,11.6,39.0,28.5,20.8,5613,18.3,26.8,25.1,39522,36178,42866,13961,13274,687,4.9,39522,71.1,330.2,305.7,128.9,119.7,12.1,11.7,25.88082522,13.08158075,0.79995278,18.94005846,26.30432963,52.79688345,0,31822,9959,31.3,23,29,25552,12073,2729,3317,992,6,8943
50023,58140,58140,-143,2405,8.9,9.2,-0.3,0.8,-2.9,-2.1,2741,11410,10325,17339,6.6,27.3,24.7,41.5,6031,10.8,12.3,10.9,61808,56339,67277,34497,33601,896,2.6,61808,101.5,367.1,322.7,130.3,121.5,11.7,9.9,35.64712701,22.9292718,1.299634839,38.71055199,34.62598535,112.3255825,14,58691,15091,25.7,50,23,47214,16059,3116,4176,1334,5,11567
